Current LinkedIn Activity,Email Domain,EmployeeLeft,LinkedIn Skill Code,Mentor Program Involvement (Scaled),Negative Review in Past 5 Years,Race (code),Recruiting Location Code,Recruiting Method Code,"Survey, Relative, Attitude toward Manager","Survey, Relative, Attitude toward Peers","Survey, Relative, Attitude toward Resources","Survey, Relative, Attitude toward Work/Life Balance","Survey, Relative, Attitude toward Workload","Survey, Relative, Peer's Average Attitude toward Environment","Survey, Relative, Peer's Average Attitude toward Manager","Survey, Relative, Peer's Average Attitude toward Peers","Survey, Relative, Peer's Average Attitude toward Resources","Survey, Relative, Peer's Average Attitude toward Workload","Survey, Relative, Peer's Average Review of Employee",Weekly Hours Worked,Years of Service
1,timesonline.co.uk,1.0,21249,3,1,3,77494,21249,1,3,3,1,7,5,5,2,4,2,2,42,2
1,fastcompany.com,0.0,10000,1,0,1,88743,32498,3,5,4,1,4,3,2,7,4,3,1,38,6
5,admin.ch,1.0,21249,2,1,3,77494,54996,1,3,5,1,7,1,4,8,4,3,1,42,0
2,mysql.com,1.0,10000,1,0,3,32498,21249,5,2,4,3,4,4,3,2,5,2,1,50,1
2,ucoz.com,0.0,10000,2,0,0,66245,43747,2,2,2,2,2,4,3,7,2,6,2,50,2
6,mysql.com,1.0,10000,1,1,0,32498,43747,1,4,4,3,2,5,5,3,5,3,5,30,3
5,fastcompany.com,1.0,21249,4,1,4,54996,43747,2,2,3,3,2,5,3,3,3,5,1,42,2
4,nih.gov,1.0,21249,3,0,0,88743,43747,2,2,3,1,4,3,5,2,3,2,1,42,3
2,mysql.com,1.0,10000,3,0,4,54996,43747,1,3,3,3,5,3,4,1,5,4,8,46,2
2,admin.ch,1.0,21249,4,1,1,43747,77494,3,5,4,2,3,4,1,6,5,1,6,50,3
2,admin.ch,1.0,10000,5,1,0,88743,43747,3,2,3,3,3,3,3,1,2,3,8,38,2
1,fastcompany.com,1.0,21249,5,1,2,10000,66245,1,6,2,4,1,4,5,1,3,6,1,38,4
4,nih.gov,1.0,21249,2,1,3,54996,21249,3,5,3,2,3,2,3,2,4,3,2,38,1
1,ucoz.com,1.0,10000,5,0,3,77494,32498,2,1,3,2,3,5,4,5,4,2,3,38,6
2,fastcompany.com,1.0,32498,2,0,0,88743,21249,2,6,1,2,3,5,3,2,5,6,3,46,2
4,mysql.com,1.0,32498,1,1,0,32498,43747,2,4,1,2,3,5,4,3,2,6,1,46,1
2,timesonline.co.uk,0.0,21249,5,1,0,10000,21249,1,6,5,2,3,4,4,8,4,4,8,30,3
6,ucoz.com,1.0,10000,5,1,0,43747,32498,1,5,1,4,4,4,3,8,4,6,4,42,4
1,mysql.com,0.0,10000,2,1,5,54996,21249,3,5,6,2,1,5,3,2,6,1,5,30,4
1,timesonline.co.uk,1.0,21249,2,1,6,66245,43747,3,1,2,1,5,4,2,2,6,5,3,46,2
2,mysql.com,1.0,21249,1,1,0,66245,10000,1,6,3,4,4,4,3,3,3,3,2,30,3
2,ucoz.com,1.0,10000,5,0,0,77494,21249,3,2,5,2,3,4,5,2,2,4,1,38,2
0,admin.ch,0.0,21249,3,1,2,54996,21249,3,2,7,1,4,5,5,5,5,5,2,50,4
2,admin.ch,1.0,10000,3,1,1,32498,43747,3,6,2,3,5,5,5,2,7,4,5,42,2
1,admin.ch,1.0,10000,3,0,5,32498,21249,1,2,5,2,4,3,1,4,5,4,1,46,3
5,fastcompany.com,1.0,10000,2,0,0,66245,32498,1,5,1,1,3,5,5,8,7,2,1,34,5
1,mysql.com,1.0,10000,3,1,3,43747,32498,2,2,4,4,5,3,4,1,3,6,1,38,6
5,admin.ch,1.0,21249,1,1,3,21249,43747,1,3,3,2,3,3,3,2,6,4,3,38,3
2,nih.gov,0.0,21249,1,1,1,77494,54996,1,3,2,2,4,5,5,2,2,3,1,46,5
6,fastcompany.com,1.0,10000,1,1,4,66245,43747,1,4,5,3,5,5,4,2,3,2,1,38,4
2,mysql.com,1.0,88743,1,1,1,10000,43747,3,6,6,2,4,4,2,6,2,3,7,38,3
1,admin.ch,0.0,10000,3,1,2,10000,43747,1,5,1,1,5,4,5,7,4,2,1,42,0
6,nih.gov,1.0,21249,3,0,1,43747,43747,2,2,6,5,3,4,4,2,3,3,8,38,1
1,timesonline.co.uk,1.0,10000,1,1,2,32498,54996,2,5,2,2,3,5,4,1,3,3,1,42,6
2,mysql.com,0.0,10000,1,0,0,32498,10000,1,5,2,3,6,2,4,8,5,4,1,34,2
4,mysql.com,1.0,21249,2,0,0,66245,21249,1,3,2,2,5,5,4,6,2,4,1,34,5
2,admin.ch,1.0,10000,1,1,5,21249,10000,1,4,5,3,6,5,2,1,3,2,3,30,6
1,admin.ch,0.0,10000,1,1,0,54996,88743,5,6,3,1,4,4,3,4,3,6,2,38,4
5,ucoz.com,1.0,10000,3,1,2,10000,10000,1,6,7,2,7,4,1,5,4,6,2,38,3
2,admin.ch,0.0,10000,1,0,2,66245,66245,3,4,2,2,3,5,1,7,4,4,1,42,4
5,ucoz.com,1.0,21249,2,0,1,54996,88743,1,4,3,2,4,4,4,1,4,2,8,50,6
3,fastcompany.com,1.0,10000,1,0,1,21249,21249,1,3,7,3,4,5,6,8,3,2,1,42,3
0,timesonline.co.uk,0.0,10000,4,0,2,66245,88743,3,3,3,2,7,4,6,6,1,1,1,50,6
1,ucoz.com,1.0,10000,3,1,6,32498,32498,1,3,1,3,2,4,3,5,4,1,1,46,1
6,timesonline.co.uk,1.0,32498,2,1,1,10000,32498,1,4,3,1,4,5,1,8,6,4,1,42,4
1,fastcompany.com,1.0,10000,1,0,2,66245,21249,1,5,3,1,5,3,3,3,5,4,1,50,2
6,timesonline.co.uk,1.0,10000,4,0,0,10000,43747,2,4,5,2,7,4,4,4,3,3,3,34,1
4,mysql.com,1.0,10000,1,1,0,43747,32498,3,6,5,1,3,5,2,3,3,5,1,42,2
6,mysql.com,0.0,10000,4,1,0,10000,21249,1,3,3,1,5,4,5,3,2,2,2,46,2
3,admin.ch,1.0,32498,2,0,2,43747,43747,1,6,3,2,2,5,6,8,4,4,1,34,2
2,admin.ch,0.0,21249,2,1,0,54996,21249,2,4,2,3,2,2,4,7,3,6,5,38,2
2,nih.gov,1.0,21249,2,0,0,32498,66245,1,5,7,1,4,2,6,5,5,3,1,34,2
3,timesonline.co.uk,0.0,10000,4,0,0,10000,54996,1,3,3,2,1,3,3,7,1,6,6,50,4
2,mysql.com,0.0,21249,2,1,0,43747,21249,3,6,1,2,1,2,3,7,2,4,1,42,1
4,mysql.com,1.0,10000,2,0,1,54996,54996,1,4,5,3,2,4,3,2,2,6,1,42,6
1,mysql.com,0.0,21249,2,1,0,32498,43747,1,1,2,2,5,5,6,4,5,5,3,50,3
3,fastcompany.com,0.0,21249,1,1,0,21249,54996,3,2,4,4,4,5,1,7,6,3,8,46,2
3,ucoz.com,1.0,10000,5,1,2,77494,54996,2,4,3,3,3,1,5,2,3,6,1,38,2
6,nih.gov,1.0,21249,2,1,6,54996,10000,2,3,3,2,7,5,2,7,1,3,1,50,4
3,mysql.com,1.0,10000,1,0,6,88743,32498,2,5,2,3,6,3,3,3,6,2,3,38,0
4,fastcompany.com,1.0,21249,3,1,0,77494,21249,2,6,5,1,4,5,2,7,2,6,2,34,4
4,mysql.com,1.0,21249,3,0,6,54996,32498,3,5,1,4,3,5,2,2,4,6,1,34,0
2,admin.ch,0.0,10000,5,1,0,54996,54996,2,6,3,1,5,3,4,6,5,2,1,50,1
6,mysql.com,1.0,10000,5,0,1,54996,32498,3,6,2,1,4,4,3,5,5,6,3,38,6
3,fastcompany.com,1.0,21249,1,0,1,54996,32498,2,5,3,1,5,4,6,7,5,4,1,46,5
0,nih.gov,0.0,21249,1,1,1,32498,43747,4,6,3,2,7,3,6,7,5,2,2,34,4
3,fastcompany.com,1.0,10000,1,0,3,66245,32498,2,6,4,3,3,5,5,6,5,6,3,42,1
1,fastcompany.com,1.0,32498,5,0,2,88743,66245,2,4,4,1,4,4,1,3,4,5,3,50,1
4,nih.gov,1.0,21249,1,0,2,66245,10000,2,6,5,2,7,3,6,5,5,3,1,42,2
6,admin.ch,1.0,21249,3,0,1,88743,54996,4,6,3,1,4,5,4,4,1,4,1,42,6
1,admin.ch,1.0,10000,3,1,6,54996,21249,2,5,3,1,1,4,5,1,4,2,2,46,1
3,ucoz.com,1.0,21249,2,1,0,10000,88743,4,2,4,1,6,1,3,3,2,4,4,50,0
4,ucoz.com,1.0,10000,2,1,6,54996,43747,2,3,1,2,4,4,5,7,3,6,1,50,1
2,admin.ch,0.0,10000,1,0,0,54996,21249,1,5,4,3,4,3,4,8,5,6,8,38,2
3,mysql.com,1.0,21249,4,0,0,88743,32498,1,3,2,2,4,3,4,5,3,4,2,38,6
2,timesonline.co.uk,1.0,10000,5,0,1,66245,21249,2,5,4,3,3,4,6,6,6,6,1,30,0
3,ucoz.com,1.0,10000,1,0,0,43747,54996,3,4,4,1,7,3,4,5,2,4,4,46,2
0,ucoz.com,0.0,10000,1,0,0,54996,54996,1,3,4,3,5,3,6,4,4,3,1,34,4
2,mysql.com,0.0,21249,1,0,0,77494,43747,2,6,2,2,1,3,5,3,4,6,4,34,1
5,timesonline.co.uk,1.0,10000,2,1,3,77494,10000,1,2,3,5,3,4,4,4,3,6,3,42,4
2,nih.gov,1.0,10000,3,1,1,32498,21249,2,3,4,3,5,5,3,2,1,2,3,30,3
4,mysql.com,1.0,21249,3,1,0,88743,21249,2,3,7,1,4,5,5,5,2,4,1,34,5
1,ucoz.com,0.0,21249,1,0,2,32498,66245,1,4,1,1,5,4,3,7,4,6,2,50,4
2,ucoz.com,1.0,21249,1,0,2,10000,32498,1,6,1,1,2,3,3,3,3,4,1,42,5
2,timesonline.co.uk,0.0,10000,2,0,0,21249,21249,2,4,2,1,5,5,4,4,5,6,1,34,5
4,admin.ch,1.0,10000,5,0,3,10000,21249,1,4,4,2,7,4,3,3,3,6,1,38,0
1,mysql.com,0.0,10000,1,0,0,43747,66245,2,5,4,2,6,5,2,3,3,3,3,46,4
1,mysql.com,1.0,10000,1,1,3,32498,88743,4,2,4,2,4,3,5,3,3,3,5,46,2
6,ucoz.com,1.0,10000,1,0,0,43747,54996,2,4,6,3,3,3,3,6,2,2,3,38,2
4,mysql.com,1.0,21249,4,0,1,21249,21249,1,1,5,1,6,3,3,1,2,3,3,46,3
2,fastcompany.com,1.0,10000,1,1,0,43747,43747,1,5,2,1,4,3,2,3,4,1,8,46,1
1,fastcompany.com,0.0,10000,1,0,0,10000,21249,3,3,2,4,4,5,6,7,4,3,2,38,4
2,mysql.com,0.0,32498,1,1,0,88743,32498,1,2,5,1,3,2,6,7,2,2,3,42,6
0,timesonline.co.uk,0.0,10000,5,1,2,77494,66245,2,1,4,2,1,2,4,8,3,2,8,38,6
2,timesonline.co.uk,1.0,21249,1,0,2,88743,32498,2,4,1,2,2,1,2,3,1,3,1,42,1
4,ucoz.com,1.0,10000,1,1,1,32498,54996,2,2,3,1,6,5,2,7,1,5,2,50,4
1,mysql.com,0.0,21249,4,0,0,10000,54996,2,5,5,1,3,4,4,8,5,2,2,34,3
2,fastcompany.com,0.0,32498,5,1,0,66245,21249,2,4,3,2,2,5,5,6,4,5,2,46,1
2,fastcompany.com,1.0,21249,5,0,0,43747,66245,1,6,6,1,4,3,1,4,2,2,1,50,3
0,mysql.com,0.0,32498,1,0,0,32498,32498,1,2,4,4,2,5,4,3,6,3,4,38,5
0,admin.ch,1.0,10000,2,1,6,10000,21249,1,6,2,1,3,4,6,6,4,3,1,34,5
4,mysql.com,1.0,21249,1,0,6,88743,43747,1,1,4,1,6,2,6,3,6,4,1,38,5
2,ucoz.com,1.0,21249,5,1,5,88743,43747,1,6,2,5,6,2,4,2,3,2,1,46,0
3,fastcompany.com,1.0,21249,1,1,0,21249,43747,1,3,3,1,4,5,6,3,5,4,8,42,2
2,admin.ch,0.0,21249,3,0,1,43747,32498,2,6,3,1,3,4,4,5,2,4,1,42,6
2,mysql.com,1.0,10000,1,1,2,66245,43747,2,4,4,2,6,4,2,2,2,1,5,38,1
4,mysql.com,1.0,21249,1,0,3,10000,32498,4,5,2,1,4,5,6,8,4,4,2,38,1
5,ucoz.com,1.0,21249,1,0,1,77494,54996,3,6,2,2,4,3,3,7,4,6,3,34,1
0,ucoz.com,1.0,21249,1,1,0,43747,54996,2,4,5,1,4,5,3,8,4,3,1,34,5
4,fastcompany.com,0.0,10000,2,0,0,21249,43747,1,5,4,2,6,5,5,3,4,4,4,42,3
2,ucoz.com,0.0,32498,1,0,0,32498,54996,1,3,1,1,2,5,5,4,5,2,2,46,4
3,fastcompany.com,1.0,32498,2,1,0,88743,43747,2,6,2,2,2,5,3,4,2,6,2,42,0
3,admin.ch,1.0,10000,5,1,0,77494,43747,2,6,5,1,2,5,5,7,4,5,5,42,2
3,ucoz.com,1.0,21249,2,0,2,43747,43747,3,2,2,2,6,5,5,1,5,6,3,38,3
1,mysql.com,0.0,21249,5,1,0,43747,21249,3,3,1,2,3,2,2,5,2,2,3,46,2
5,admin.ch,1.0,21249,5,1,0,77494,21249,2,3,4,1,5,5,5,8,5,5,1,50,1
2,admin.ch,1.0,21249,3,0,0,32498,66245,2,5,6,2,2,4,6,5,6,5,1,42,1
3,nih.gov,1.0,10000,2,0,3,54996,32498,2,5,3,1,3,5,6,2,4,6,2,38,4
4,fastcompany.com,1.0,32498,5,0,0,21249,43747,1,6,5,1,5,3,4,8,6,6,2,42,4
5,ucoz.com,1.0,10000,1,1,2,54996,32498,1,1,4,2,5,5,1,2,4,4,3,46,5
4,mysql.com,1.0,10000,2,1,1,54996,43747,2,4,1,2,3,3,3,5,3,6,1,34,2
2,mysql.com,1.0,10000,4,1,3,66245,10000,2,4,2,2,7,3,6,8,1,2,2,38,6
0,nih.gov,0.0,21249,2,0,0,66245,54996,1,3,7,1,2,5,3,5,6,1,2,42,6
2,ucoz.com,0.0,21249,2,1,1,54996,43747,1,1,2,2,4,5,3,5,2,3,6,50,5
4,mysql.com,0.0,21249,2,0,4,66245,32498,2,5,4,1,4,5,2,8,2,6,5,46,3
5,timesonline.co.uk,1.0,21249,4,1,4,43747,77494,3,3,2,2,4,4,3,3,2,5,3,46,0
2,nih.gov,1.0,10000,2,0,2,66245,88743,1,6,3,1,2,5,4,1,4,4,7,38,1
1,admin.ch,0.0,10000,5,1,2,88743,21249,1,6,4,1,4,3,5,7,5,2,2,38,6
3,mysql.com,1.0,10000,1,1,1,77494,66245,1,5,1,1,6,4,6,3,5,2,3,34,1
3,fastcompany.com,1.0,21249,4,1,1,66245,32498,2,6,1,2,3,3,4,7,3,6,1,34,0
1,fastcompany.com,1.0,10000,5,0,4,21249,43747,3,6,4,1,6,5,2,8,4,4,1,46,2
6,admin.ch,0.0,21249,3,0,0,88743,66245,2,3,7,1,7,3,3,8,2,4,4,46,2
1,timesonline.co.uk,0.0,21249,2,1,2,43747,54996,1,6,3,2,5,2,3,8,2,5,1,42,1
1,timesonline.co.uk,0.0,21249,2,1,0,43747,10000,2,1,2,2,3,2,5,8,3,6,5,46,1
5,mysql.com,1.0,10000,1,1,1,66245,66245,2,2,4,1,4,3,2,2,7,1,3,38,5
5,admin.ch,1.0,21249,1,1,0,66245,66245,2,5,2,4,7,5,3,8,7,1,1,38,3
4,admin.ch,1.0,21249,1,0,5,88743,54996,1,2,2,3,4,3,6,6,3,5,1,50,1
5,mysql.com,1.0,32498,3,0,3,77494,32498,3,2,5,4,2,5,6,8,4,4,8,38,6
0,fastcompany.com,0.0,21249,5,1,1,88743,10000,2,4,5,2,5,4,6,4,3,5,3,38,0
1,mysql.com,0.0,21249,2,1,1,21249,43747,1,6,2,2,3,4,1,8,2,4,2,42,1
3,admin.ch,1.0,43747,5,0,6,66245,43747,1,5,1,2,4,1,3,8,4,6,1,38,1
2,fastcompany.com,1.0,10000,1,0,0,66245,43747,2,2,4,2,4,3,1,1,3,6,5,34,3
1,fastcompany.com,1.0,32498,2,1,6,10000,21249,1,4,4,1,4,5,5,2,6,6,2,34,3
6,mysql.com,1.0,32498,1,1,2,77494,32498,2,1,2,1,5,5,1,4,2,6,2,34,3
1,timesonline.co.uk,1.0,10000,1,1,3,10000,43747,3,6,2,1,6,5,5,5,5,5,3,50,3
3,timesonline.co.uk,1.0,21249,5,1,3,21249,43747,1,3,3,2,3,5,6,4,4,5,3,34,1
3,timesonline.co.uk,1.0,21249,1,0,0,32498,88743,1,4,2,1,3,5,4,1,4,5,2,34,3
2,nih.gov,1.0,10000,5,0,0,21249,43747,1,5,5,2,2,2,2,4,4,1,3,30,0
3,nih.gov,1.0,21249,3,0,0,54996,54996,2,2,3,1,7,4,4,6,5,5,1,42,2
4,fastcompany.com,0.0,10000,4,1,1,10000,66245,2,4,6,2,7,3,4,5,4,2,2,42,5
0,ucoz.com,1.0,21249,1,1,3,77494,54996,3,1,5,4,3,5,3,3,3,3,4,42,1
1,fastcompany.com,0.0,10000,2,1,2,10000,54996,2,5,5,3,3,2,5,6,1,6,8,34,2
4,mysql.com,1.0,10000,1,1,0,21249,32498,2,5,4,3,5,5,5,2,2,2,2,50,2
1,nih.gov,0.0,21249,1,0,3,32498,10000,1,2,3,1,5,5,3,6,2,3,1,38,0
6,timesonline.co.uk,1.0,10000,1,1,4,32498,10000,2,1,4,3,4,3,2,6,6,2,2,42,6
3,ucoz.com,0.0,43747,1,0,1,54996,21249,1,5,1,2,2,5,3,1,2,5,1,34,4
4,admin.ch,1.0,10000,1,0,0,77494,32498,1,5,3,2,3,5,4,7,6,4,2,42,2
1,mysql.com,1.0,32498,3,0,5,77494,66245,1,5,5,4,4,2,3,2,1,5,4,46,1
3,mysql.com,1.0,21249,3,1,4,77494,32498,3,4,2,1,3,5,6,7,3,3,5,46,0
1,nih.gov,1.0,10000,2,0,1,43747,21249,1,1,7,2,4,3,3,1,2,3,1,38,1
2,fastcompany.com,1.0,21249,1,1,4,88743,32498,4,4,2,2,3,3,4,6,3,6,1,50,4
4,mysql.com,1.0,32498,1,1,0,54996,32498,2,4,2,4,5,3,6,1,3,2,3,46,3
3,fastcompany.com,1.0,10000,4,1,1,88743,21249,2,5,4,2,6,3,2,5,5,3,7,42,0
1,mysql.com,0.0,21249,5,1,3,54996,66245,3,6,2,1,5,1,4,6,7,3,2,46,2
2,nih.gov,1.0,21249,1,1,2,66245,54996,2,5,2,1,4,4,4,7,6,6,1,46,2
1,ucoz.com,0.0,21249,5,0,0,21249,32498,1,6,1,3,4,2,5,7,6,5,6,34,2
5,admin.ch,1.0,21249,1,0,3,54996,21249,1,2,3,3,4,5,4,8,3,5,6,30,1
3,fastcompany.com,1.0,43747,1,0,1,88743,10000,3,1,5,2,4,4,5,5,3,5,4,38,6
2,fastcompany.com,1.0,21249,1,0,4,32498,66245,2,1,5,1,3,3,3,3,5,5,2,38,4
4,fastcompany.com,1.0,21249,5,0,2,32498,77494,4,2,2,3,6,3,2,4,3,4,7,34,1
2,ucoz.com,1.0,10000,5,0,0,66245,21249,1,6,3,1,5,5,4,1,4,6,2,46,2
0,mysql.com,0.0,10000,1,1,3,10000,10000,2,4,2,1,1,1,5,5,4,4,4,34,3
2,admin.ch,1.0,10000,1,1,5,66245,21249,2,4,5,1,4,2,6,4,2,3,3,46,6
0,nih.gov,0.0,21249,1,1,6,66245,66245,1,6,1,2,3,3,5,8,4,6,5,38,2
5,ucoz.com,1.0,10000,1,1,0,43747,66245,2,1,7,1,7,5,2,4,3,4,2,34,2
4,admin.ch,1.0,10000,1,0,0,21249,10000,2,5,4,2,3,5,3,6,3,4,5,30,4
4,nih.gov,1.0,10000,1,1,0,77494,77494,2,6,3,1,2,3,3,3,3,2,2,38,0
2,mysql.com,0.0,32498,1,1,5,21249,66245,1,4,2,2,7,5,5,5,2,2,1,30,1
6,nih.gov,1.0,10000,5,0,0,32498,32498,2,3,5,2,4,4,2,1,5,3,3,42,3
2,ucoz.com,1.0,32498,1,0,1,66245,43747,3,6,6,2,4,2,2,3,4,6,3,38,1
1,ucoz.com,1.0,10000,5,0,1,32498,21249,2,2,3,3,3,4,2,2,4,5,1,50,3
3,fastcompany.com,1.0,32498,3,0,0,54996,10000,3,3,3,2,3,5,1,4,6,2,8,38,5
4,mysql.com,0.0,32498,1,1,4,88743,21249,1,2,5,1,5,5,4,6,4,6,4,50,1
6,ucoz.com,1.0,10000,2,1,0,88743,32498,2,5,2,1,2,3,2,7,2,6,1,34,4
1,mysql.com,1.0,10000,3,1,1,21249,32498,1,1,4,1,3,5,6,1,5,6,6,42,3
0,ucoz.com,0.0,10000,1,1,2,54996,21249,1,2,1,1,6,5,3,7,4,1,2,46,3
2,admin.ch,1.0,32498,2,1,0,54996,32498,2,3,3,2,7,4,2,3,6,3,1,46,6
3,ucoz.com,1.0,21249,4,0,1,32498,32498,3,5,2,3,3,4,5,5,4,4,3,34,5
1,mysql.com,0.0,10000,3,0,1,66245,32498,3,5,3,1,5,3,6,8,2,1,1,38,5
3,mysql.com,1.0,21249,3,1,1,43747,54996,3,6,5,3,2,1,4,5,5,4,3,46,5
5,mysql.com,1.0,21249,1,1,3,21249,43747,2,1,3,1,4,2,3,1,3,6,1,38,3
3,mysql.com,1.0,21249,4,0,6,21249,21249,1,4,2,3,4,5,3,2,2,4,1,34,4
5,mysql.com,1.0,10000,2,1,1,88743,43747,1,4,3,3,7,2,3,5,3,1,1,42,6
4,nih.gov,1.0,10000,2,1,0,54996,66245,3,5,3,1,6,3,4,6,3,6,2,30,3
2,mysql.com,1.0,32498,2,0,1,32498,43747,1,6,4,4,5,3,1,5,4,6,1,34,2
5,fastcompany.com,1.0,32498,2,0,3,21249,43747,1,3,4,1,2,4,6,1,3,4,1,50,3
6,fastcompany.com,1.0,10000,2,0,3,54996,66245,1,2,5,3,5,5,4,2,4,1,1,50,1
4,fastcompany.com,1.0,10000,3,0,4,43747,32498,1,6,2,1,3,4,4,1,2,6,3,46,2
4,timesonline.co.uk,1.0,32498,1,1,6,32498,88743,3,3,6,2,3,4,5,4,5,4,1,38,6
1,fastcompany.com,1.0,32498,2,1,6,21249,21249,4,1,3,3,4,2,4,1,2,6,2,46,6
2,ucoz.com,1.0,10000,2,0,3,66245,43747,4,1,5,3,7,3,4,8,3,5,4,30,4
4,nih.gov,1.0,10000,2,0,0,66245,43747,1,4,1,1,6,4,4,7,6,4,2,50,0
0,admin.ch,1.0,21249,1,1,6,54996,21249,1,1,5,2,5,3,6,4,3,3,7,46,3
5,ucoz.com,0.0,21249,5,1,1,21249,43747,2,5,3,1,3,5,6,3,2,4,1,46,2
0,mysql.com,0.0,21249,2,1,1,88743,66245,1,2,3,4,4,5,2,8,7,4,1,42,4
6,mysql.com,1.0,21249,2,1,0,66245,10000,2,3,2,1,7,3,1,7,2,3,3,38,2
0,mysql.com,1.0,21249,3,0,0,88743,10000,2,2,2,5,5,4,2,2,5,6,2,34,2
2,mysql.com,0.0,21249,1,1,0,10000,43747,2,6,3,1,7,5,6,7,2,3,1,34,2
3,mysql.com,0.0,10000,5,0,1,88743,43747,3,3,5,1,3,3,4,3,4,6,1,46,2
3,fastcompany.com,1.0,10000,3,0,1,10000,21249,1,4,4,1,3,3,6,6,2,6,5,50,3
3,mysql.com,1.0,10000,1,0,6,54996,43747,2,4,6,1,2,5,3,6,4,5,1,50,2
3,mysql.com,1.0,10000,1,1,2,66245,77494,1,4,3,3,3,5,3,3,4,6,3,38,5
0,ucoz.com,0.0,10000,3,0,2,32498,54996,2,3,3,3,3,5,4,8,4,3,1,50,4
5,ucoz.com,1.0,10000,1,0,3,66245,88743,1,5,5,1,7,3,6,7,4,4,1,46,3
5,admin.ch,0.0,10000,1,1,0,66245,77494,1,3,5,3,4,4,4,8,4,4,2,38,2
3,ucoz.com,0.0,10000,1,0,0,21249,43747,2,3,1,1,5,5,5,1,2,2,2,38,2
6,mysql.com,1.0,10000,4,1,0,43747,21249,3,2,6,1,3,5,3,7,5,5,1,50,2
1,ucoz.com,0.0,10000,3,0,2,21249,54996,3,4,2,1,4,5,2,5,3,5,2,34,5
2,ucoz.com,1.0,21249,1,0,0,77494,43747,2,2,6,2,4,3,2,1,1,4,1,38,4
1,ucoz.com,0.0,10000,5,1,0,54996,66245,4,6,1,1,4,5,3,5,6,6,3,42,2
6,timesonline.co.uk,1.0,21249,4,0,0,77494,77494,2,3,3,2,7,2,6,3,6,6,1,50,6
6,fastcompany.com,0.0,21249,1,0,4,43747,43747,6,5,4,2,4,4,1,6,6,3,4,42,3
4,ucoz.com,0.0,10000,1,0,3,43747,43747,6,1,3,3,5,2,4,7,3,3,1,38,5
2,mysql.com,1.0,21249,1,0,1,66245,32498,3,1,3,3,3,5,2,3,3,1,8,42,1
4,admin.ch,1.0,10000,2,0,0,43747,32498,2,6,4,3,2,4,3,2,2,3,1,42,1
2,admin.ch,1.0,43747,1,1,4,43747,10000,1,5,7,1,3,4,6,3,5,5,1,42,3
5,mysql.com,1.0,21249,3,1,1,21249,21249,3,3,2,1,7,4,6,4,4,5,1,34,3
1,ucoz.com,0.0,21249,2,1,0,88743,21249,1,2,3,4,3,3,6,7,4,2,5,42,3
6,admin.ch,1.0,10000,2,1,1,66245,54996,3,2,3,1,5,4,4,2,4,6,4,34,1
